Emisiones (t CO2 eq / MWh)

Hora,Eólica,Nuclear,Carbón,Ciclo combinado,Intercambios int,Solar fotovoltaica,Solar térmica,Térmica renovable,Motores diésel,Turbina de gas,Turbina de vapor,Generación auxiliar,Cogeneración y residuos,Andorra exportación,Marruecos exportación,Portugal exportación,Francia exportación,Francia importación,Portugal importación,Marruecos importación,Andorra importación,Consumo bombeo,Turbinación bombeo,Hidráulica,Baterías,Consumo baterías
"2025-03-18 21:00","0","0","221","2710","0","0","0","0","277","234","235","0","547","0","0","0","0","0","0","0","0","0","0","0","0","0",
"2025-03-18 21:05","0","0","222","2676","0","0","0","0","277","241","235","0","547","0","0","0","0","0","0","0","0","0","0","0","0","0",
"2025-03-18 21:10","0","0","222","2680","0","0","0","0","277","244","234","0","546","0","0","0","0","0","0","0","0","0","0","0","0","0",
"2025-03-18 21:15","0","0","222","2642","0","0","0","0","279","243","234","0","544","0","0","0","0","0","0","0","0","0","0","0","0","0",
"2025-03-18 21:20","0","0","222","2552","0","0","0","0","277","243","235","0","539","0","0","0","0","0","0","0","0","0","0","0","0","0",
"2025-03-18 21:25","0","0","222","2443","0","0","0","0","277","242","235","0","535","0","0","0","0","0","0","0","0","0","0","0","0","0",
"2025-03-18 21:30","0","0","222","2399","0","0","0","0","276","239","234","0","524","0","0","0","0","0","0","0","0","0","0","0","0","0",
"2025-03-18 21:35","0","0","222","2366","0","0","0","0","276","238","234","0","536","0","0","0","0","0","0","0","0","0","0","0","0","0",
"2025-03-18 21:40","0","0","222","2369","0","0","0","0","275","232","234","0","536","0","0","0","0","0","0","0","0","0","0","0","0","0",
"2025-03-18 21:45","0","0","222","2366","0","0","0","0","275","225","235","0","537","0","0","0","0","0","0","0","0","0","0","0","0","0",
"2025-03-18 21:50","0","0","222","2350","0","0","0","0","271","223","234","0","536","0","0","0","0","0","0","0","0","0","0","0","0","0",
"2025-03-18 21:55","0","0","222","2291","0","0","0","0","271","227","234","0","531","0","0","0","0","0","0","0","0","0","0","0","0","0",
"2025-03-18 22:00","0","0","222","2287","0","0","0","0","269","227","234","0","527","0","0","0","0","0","0","0","0","0","0","0","0","0",
"2025-03-18 22:05","0","0","222","2365","0","0","0","0","268","222","235","0","526","0","0","0","0","0","0","0","0","0","0","0","0","0",
"2025-03-18 22:10","0","0","222","2397","0","0","0","0","266","223","234","0","514","0","0","0","0","0","0","0","0","0","0","0","0","0",
"2025-03-18 22:15","0","0","222","2363","0","0","0","0","265","218","234","0","524","0","0","0","0","0","0","0","0","0","0","0","0","0",
"2025-03-18 22:20","0","0","222","2303","0","0","0","0","262","217","234","0","524","0","0","0","0","0","0","0","0","0","0","0","0","0",
"2025-03-18 22:25","0","0","222","2252","0","0","0","0","262","217","234","0","524","0","0","0","0","0","0","0","0","0","0","0","0","0",
"2025-03-18 22:30","0","0","222","2195","0","0","0","0","260","212","234","0","522","0","0","0","0","0","0","0","0","0","0","0","0","0",
"2025-03-18 22:35","0","0","222","2181","0","0","0","0","258","211","234","0","514","0","0","0","0","0","0","0","0","0","0","0","0","0",
"2025-03-18 22:40","0","0","222","2170","0","0","0","0","260","199","234","0","524","0","0","0","0","0","0","0","0","0","0","0","0","0",
"2025-03-18 22:45","0","0","222","2169","0","0","0","0","260","180","235","0","523","0","0","0","0","0","0","0","0","0","0","0","0","0",
"2025-03-18 22:50","0","0","222","2139","0","0","0","0","256","180","234","0","522","0","0","0","0","0","0","0","0","0","0","0","0","0",
"2025-03-18 22:55","0","0","222","2119","0","0","0","0","249","180","233","0","505","0","0","0","0","0","0","0","0","0","0","0","0","0",
"2025-03-18 23:00","0","0","222","2104","0","0","0","0","244","180","232","0","516","0","0","0","0","0","0","0","0","0","0","0","0","0",
"2025-03-18 23:05","0","0","222","2002","0","0","0","0","242","169","230","0","514","0","0","0","0","0","0","0","0","0","0","0","0","0",
"2025-03-18 23:10","0","0","221","1940","0","0","0","0","239","153","231","0","509","0","0","0","0","0","0","0","0","0","0","0","0","0",
"2025-03-18 23:15","0","0","221","1842","0","0","0","0","237","135","231","0","497","0","0","0","0","0","0","0","0","0","0","0","0","0",
"2025-03-18 23:20","0","0","222","1775","0","0","0","0","233","110","233","0","505","0","0","0","0","0","0","0","0","0","0","0","0","0",
