Estructura de almacenamiento (MW)

Hora,Turbinación bombeo,Consumo bombeo,Baterías,Consumo baterías
"2025-03-18 21:00","1370","-287","6","0",
"2025-03-18 21:05","1367","-287","6","0",
"2025-03-18 21:10","1367","-287","6","0",
"2025-03-18 21:15","1356","-287","5","0",
"2025-03-18 21:20","1366","-287","5","0",
"2025-03-18 21:25","1366","-287","5","0",
"2025-03-18 21:30","1357","-287","5","0",
"2025-03-18 21:35","1281","-287","5","0",
"2025-03-18 21:40","1277","-287","0","0",
"2025-03-18 21:45","1261","-287","0","0",
"2025-03-18 21:50","1265","-287","0","0",
"2025-03-18 21:55","1260","-287","0","0",
"2025-03-18 22:00","1303","-287","1","0",
"2025-03-18 22:05","1353","-287","1","0",
"2025-03-18 22:10","1322","-287","1","0",
"2025-03-18 22:15","1250","-287","0","0",
"2025-03-18 22:20","1222","-287","1","0",
"2025-03-18 22:25","1220","-287","0","0",
"2025-03-18 22:30","1141","-287","0","0",
"2025-03-18 22:35","805","-287","0","0",
"2025-03-18 22:40","795","-287","0","0",
"2025-03-18 22:45","800","-287","0","0",
"2025-03-18 22:50","767","-287","0","0",
"2025-03-18 22:55","746","-287","0","0",
"2025-03-18 23:00","685","-287","0","0",
"2025-03-18 23:05","694","-287","0","0",
"2025-03-18 23:10","691","-287","0","0",
"2025-03-18 23:15","666","-287","0","0",
"2025-03-18 23:20","907","-287","0","0",
"2025-03-18 23:25","993","-287","0","0",
"2025-03-18 23:30","880","-287","0","0",
"2025-03-18 23:35","880","-287","0","0",
"2025-03-18 23:40","913","-287","1","0",
"2025-03-18 23:45","890","-287","0","0",
"2025-03-18 23:50","915","-287","0","0",
"2025-03-18 23:55","936","-287","0","0",
"2025-03-19 00:00","1062","-287","0","0",
"2025-03-19 00:05","1232","-287","0","0",
"2025-03-19 00:10","1062","-287","0","0",
"2025-03-19 00:15","1249","-287","0","0",
"2025-03-19 00:20","1200","-287","0","0",
"2025-03-19 00:25","1079","-287","0","0",
"2025-03-19 00:30","1042","-287","0","0",
"2025-03-19 00:35","1087","-287","0","0",
"2025-03-19 00:40","1128","-287","0","0",
"2025-03-19 00:45","1089","-287","0","0",
"2025-03-19 00:50","1065","-287","0","0",
"2025-03-19 00:55","1065","-287","0","0",
"2025-03-19 01:00","1017","-287","0","0",
"2025-03-19 01:05","1002","-287","0","0",
"2025-03-19 01:10","944","-287","0","0",
"2025-03-19 01:15","871","-287","0","-1",
"2025-03-19 01:20","834","-287","0","0",
"2025-03-19 01:25","750","-291","0","0",
"2025-03-19 01:30","747","-341","0","-2",
"2025-03-19 01:35","563","-340","0","-2",
"2025-03-19 01:40","559","-341","0","-2",
"2025-03-19 01:45","581","-340","0","-2",
"2025-03-19 01:50","580","-340","0","-2",
"2025-03-19 01:55","574","-340","0","-2",
"2025-03-19 02:00","568","-340","0","-2",
"2025-03-19 02:05","362","-340","0","-1",
"2025-03-19 02:10","308","-340","0","-1",
"2025-03-19 02:15","298","-287","0","-2",
"2025-03-19 02:20","296","-287","0","-2",
"2025-03-19 02:25","249","-287","0","-2",
"2025-03-19 02:30","243","-287","0","-2",
"2025-03-19 02:35","229","-287","0","-1",
"2025-03-19 02:40","228","-287","0","0",
"2025-03-19 02:45","223","-287","0","-1",
"2025-03-19 02:50","220","-287","0","-1",
"2025-03-19 02:55","217","-287","0","-1",
"2025-03-19 03:00","212","-685","0","-2",
"2025-03-19 03:05","232","-685","0","-2",
"2025-03-19 03:10","238","-685","0","-2",
"2025-03-19 03:15","235","-685","0","-2",
"2025-03-19 03:20","234","-685","0","-2",
"2025-03-19 03:25","234","-685","0","-2",
"2025-03-19 03:30","144","-693","0","-2",
"2025-03-19 03:35","100","-734","0","-2",
"2025-03-19 03:40","104","-947","0","-2",
"2025-03-19 03:45","75","-947","0","-2",
"2025-03-19 03:50","105","-947","0","0",
"2025-03-19 03:55","162","-947","0","0",
"2025-03-19 04:00","161","-952","0","0",
"2025-03-19 04:05","156","-1000","2","0",
"2025-03-19 04:10","155","-1000","2","0",
"2025-03-19 04:15","155","-999","2","0",
"2025-03-19 04:20","71","-1001","2","0",
"2025-03-19 04:25","53","-1006","2","0",
"2025-03-19 04:30","47","-1053","2","0",
"2025-03-19 04:35","45","-1052","2","0",
"2025-03-19 04:40","46","-1052","1","0",
"2025-03-19 04:45","44","-1054","1","0",
"2025-03-19 04:50","44","-1051","0","0",
"2025-03-19 04:55","46","-1052","0","0",
"2025-03-19 05:00","45","-1146","0","0",
"2025-03-19 05:05","45","-1148","0","-1",
"2025-03-19 05:10","45","-1284","0","-2",
"2025-03-19 05:15","44","-1418","0","-2",
"2025-03-19 05:20","46","-1421","0","-2",
"2025-03-19 05:25","44","-1422","0","-2",
"2025-03-19 05:30","45","-1279","0","-2",
"2025-03-19 05:35","44","-1280","0","-2",
"2025-03-19 05:40","45","-1277","0","-2",
"2025-03-19 05:45","44","-1225","0","-2",
"2025-03-19 05:50","85","-1224","0","0",
"2025-03-19 05:55","85","-1225","0","0",
"2025-03-19 06:00","205","-1228","0","0",
"2025-03-19 06:05","232","-1228","2","0",
"2025-03-19 06:10","329","-1222","2","0",
"2025-03-19 06:15","349","-1224","1","0",
"2025-03-19 06:20","377","-1230","1","0",
"2025-03-19 06:25","374","-1226","1","0",
"2025-03-19 06:30","357","-1224","1","0",
"2025-03-19 06:35","342","-1224","1","0",
"2025-03-19 06:40","327","-1226","1","0",
"2025-03-19 06:45","324","-1229","2","0",
"2025-03-19 06:50","282","-1227","1","0",
"2025-03-19 06:55","278","-1225","1","0",
"2025-03-19 07:00","340","-1225","2","0",
"2025-03-19 07:05","525","-1225","2","0",
"2025-03-19 07:10","438","-945","2","0",
"2025-03-19 07:15","588","-948","1","0",
"2025-03-19 07:20","693","-946","1","0",
"2025-03-19 07:25","679","-949","0","0",
"2025-03-19 07:30","657","-948","0","-1",
"2025-03-19 07:35","681","-946","0","0",
"2025-03-19 07:40","723","-948","0","-2",
"2025-03-19 07:45","731","-947","0","-2",
"2025-03-19 07:50","688","-946","0","-2",
"2025-03-19 07:55","689","-949","0","-2",
"2025-03-19 08:00","715","-944","0","-2",
"2025-03-19 08:05","571","-261","0","-2",
"2025-03-19 08:10","524","-53","0","-2",
"2025-03-19 08:15","347","-54","0","-2",
"2025-03-19 08:20","363","-53","0","-1",
"2025-03-19 08:25","363","-54","0","-1",
"2025-03-19 08:30","350","-54","0","-2",
"2025-03-19 08:35","354","-53","0","0",
"2025-03-19 08:40","343","-53","0","-1",
"2025-03-19 08:45","345","-54","0","-2",
"2025-03-19 08:50","346","-53","0","-2",
"2025-03-19 08:55","167","0","0","0",
"2025-03-19 09:00","160","0","0","0",
"2025-03-19 09:05","106","-30","0","0",
"2025-03-19 09:10","85","-139","0","0",
"2025-03-19 09:15","24","-140","0","0",
"2025-03-19 09:20","24","-142","0","0",
"2025-03-19 09:25","24","-325","0","0",
"2025-03-19 09:30","24","-498","2","0",
"2025-03-19 09:35","24","-711","2","0",
"2025-03-19 09:40","24","-855","2","0",
"2025-03-19 09:45","23","-851","1","0",
"2025-03-19 09:50","24","-850","1","0",
"2025-03-19 09:55","23","-997","1","0",
"2025-03-19 10:00","24","-988","1","0",
"2025-03-19 10:05","24","-1015","1","0",
"2025-03-19 10:10","24","-1083","1","0",
"2025-03-19 10:15","4","-1476","2","0",
"2025-03-19 10:20","4","-1589","2","0",
"2025-03-19 10:25","4","-1597","2","0",
"2025-03-19 10:30","4","-1599","2","0",
"2025-03-19 10:35","4","-1602","2","0",
"2025-03-19 10:40","68","-1647","2","0",
"2025-03-19 10:45","133","-1649","2","0",
"2025-03-19 10:50","133","-1649","2","0",
"2025-03-19 10:55","133","-1648","2","0",
"2025-03-19 11:00","133","-1648","2","0",
"2025-03-19 11:05","133","-1639","2","0",
"2025-03-19 11:10","132","-1647","2","0",
"2025-03-19 11:15","133","-1654","2","0",
"2025-03-19 11:20","132","-1673","2","0",
"2025-03-19 11:25","132","-1669","2","0",
"2025-03-19 11:30","132","-2023","2","0",
"2025-03-19 11:35","133","-2024","2","0",
"2025-03-19 11:40","132","-2028","1","0",
"2025-03-19 11:45","133","-2028","0","0",
"2025-03-19 11:50","133","-2023","0","0",
"2025-03-19 11:55","133","-2027","0","-2",
"2025-03-19 12:00","133","-2026","0","0",
"2025-03-19 12:05","133","-2020","0","-4",
"2025-03-19 12:10","133","-2025","0","-4",
"2025-03-19 12:15","133","-2119","0","-4",
"2025-03-19 12:20","133","-2116","0","-4",
"2025-03-19 12:25","133","-2117","0","-4",
"2025-03-19 12:30","132","-2117","0","-4",
"2025-03-19 12:35","132","-2113","0","-4",
"2025-03-19 12:40","132","-2118","0","-7",
"2025-03-19 12:45","132","-2119","0","-7",
"2025-03-19 12:50","132","-2119","0","-7",
"2025-03-19 12:55","132","-2119","0","-7",
"2025-03-19 13:00","133","-2123","1","-4",
"2025-03-19 13:05","132","-2116","1","-4",
"2025-03-19 13:10","132","-2112","1","-4",
"2025-03-19 13:15","133","-2169","1","-4",
"2025-03-19 13:20","133","-2169","1","-4",
"2025-03-19 13:25","133","-2165","0","-4",
"2025-03-19 13:30","132","-2169","0","-4",
"2025-03-19 13:35","132","-2163","0","-7",
"2025-03-19 13:40","132","-2163","1","-4",
"2025-03-19 13:45","132","-2163","1","-4",
"2025-03-19 13:50","132","-2166","0","-6",
"2025-03-19 13:55","132","-2165","0","-7",
"2025-03-19 14:00","132","-2172","1","-5",
"2025-03-19 14:05","133","-2265","2","-9",
"2025-03-19 14:10","132","-2261","0","-6",
"2025-03-19 14:15","132","-2258","0","-4",
"2025-03-19 14:20","132","-2256","0","-4",
"2025-03-19 14:25","132","-2254","0","-4",
"2025-03-19 14:30","132","-2256","0","-4",
"2025-03-19 14:35","132","-2221","0","-4",
"2025-03-19 14:40","132","-2221","0","-4",
"2025-03-19 14:45","132","-2222","0","-4",
"2025-03-19 14:50","133","-2271","0","-4",
"2025-03-19 14:55","132","-2267","0","-7",
"2025-03-19 15:00","132","-2337","0","-7",
"2025-03-19 15:05","130","-2478","0","-7",
"2025-03-19 15:10","68","-2468","0","-6",
"2025-03-19 15:15","4","-2472","2","-4",
"2025-03-19 15:20","4","-2470","2","-4",
"2025-03-19 15:25","4","-2462","1","-4",
"2025-03-19 15:30","4","-2469","0","-4",
"2025-03-19 15:35","4","-2472","0","-5",
"2025-03-19 15:40","5","-2467","0","-5",
"2025-03-19 15:45","4","-2507","0","-6",
"2025-03-19 15:50","4","-2519","0","-6",
"2025-03-19 15:55","4","-2520","0","-5",
"2025-03-19 16:00","4","-2481","0","-6",
"2025-03-19 16:05","4","-2492","0","-6",
"2025-03-19 16:10","4","-2473","0","-5",
"2025-03-19 16:15","4","-2471","0","-5",
"2025-03-19 16:20","4","-2464","0","-1",
"2025-03-19 16:25","4","-2464","0","-1",
"2025-03-19 16:30","4","-2465","0","-1",
"2025-03-19 16:35","4","-2470","0","-1",
"2025-03-19 16:40","4","-2466","0","-1",
"2025-03-19 16:45","26","-2468","0","-1",
"2025-03-19 16:50","33","-2467","0","-1",
"2025-03-19 16:55","6","-2460","1","0",
"2025-03-19 17:00","68","-2476","1","0",
"2025-03-19 17:05","68","-2418","0","-2",
"2025-03-19 17:10","97","-2408","0","-2",
"2025-03-19 17:15","160","-2398","0","-2",
"2025-03-19 17:20","161","-2400","0","0",
"2025-03-19 17:25","132","-2396","2","0",
"2025-03-19 17:30","133","-2398","2","0",
"2025-03-19 17:35","132","-2350","2","0",
"2025-03-19 17:40","132","-2345","2","0",
"2025-03-19 17:45","132","-2345","2","0",
"2025-03-19 17:50","132","-2164","1","0",
"2025-03-19 17:55","133","-2166","0","0",
"2025-03-19 18:00","155","-2177","0","0",
"2025-03-19 18:05","173","-2093","5","-2",
"2025-03-19 18:10","172","-1882","5","-2",
"2025-03-19 18:15","174","-1830","5","-2",
"2025-03-19 18:20","172","-1830","5","-2",
"2025-03-19 18:25","176","-1824","5","0",
"2025-03-19 18:30","205","-1827","8","0",
"2025-03-19 18:35","255","-1779","8","0",
"2025-03-19 18:40","302","-1724","8","0",
"2025-03-19 18:45","316","-1724","6","0",
"2025-03-19 18:50","383","-1724","5","0",
"2025-03-19 18:55","414","-1723","5","-2",
"2025-03-19 19:00","381","-1716","7","0",
"2025-03-19 19:05","320","-1307","6","0",
"2025-03-19 19:10","320","-1046","6","0",
"2025-03-19 19:15","446","-870","5","0",
"2025-03-19 19:20","687","-869","6","0",
"2025-03-19 19:25","702","-865","6","0",
"2025-03-19 19:30","694","-867","5","0",
"2025-03-19 19:35","702","-866","5","0",
"2025-03-19 19:40","697","-868","5","0",
"2025-03-19 19:45","540","-866","5","0",
"2025-03-19 19:50","543","-868","5","-2",
"2025-03-19 19:55","538","-868","5","-2",
"2025-03-19 20:00","675","-868","4","-2",
"2025-03-19 20:05","720","-865","10","-1",
"2025-03-19 20:10","580","-775","9","-2",
"2025-03-19 20:15","623","-777","9","-1",
"2025-03-19 20:20","584","-775","9","-1",
"2025-03-19 20:25","634","-777","10","0",
"2025-03-19 20:30","671","-777","11","0",
"2025-03-19 20:35","731","-775","12","0",
"2025-03-19 20:40","680","-778","12","0",
"2025-03-19 20:45","610","-778","11","0",
"2025-03-19 20:50","539","-778","10","0",
"2025-03-19 20:55","546","-779","6","0",
"2025-03-19 21:00","713","-777","5","0",
"2025-03-19 21:05","793","-775","2","0",
"2025-03-19 21:10","808","-775","1","0",
"2025-03-19 21:15","600","-777","1","0",
"2025-03-19 21:20","590","-777","1","0",
"2025-03-19 21:25","564","-777","1","0",
"2025-03-19 21:30","562","-777","1","0",
"2025-03-19 21:35","553","-776","1","0",
"2025-03-19 21:40","608","-776","1","0",
"2025-03-19 21:45","557","-777","0","0",
"2025-03-19 21:50","517","-777","0","-2",
"2025-03-19 21:55","512","-777","0","-2",
"2025-03-19 22:00","702","-776","2","0",
"2025-03-19 22:05","630","-774","2","0",
