Seguimiento de la demanda de energía eléctrica (MW)

Hora,Real,Prevista,Programada
"2025-03-18 21:00","38293","38277","38195",
"2025-03-18 21:05","38153","38313","38195",
"2025-03-18 21:10","38274","38233","38195",
"2025-03-18 21:15","38178","38036","37800",
"2025-03-18 21:20","38001","37784","37800",
"2025-03-18 21:25","37916","37535","37800",
"2025-03-18 21:30","37725","37292","37164",
"2025-03-18 21:35","37528","37037","37164",
"2025-03-18 21:40","37165","36754","37164",
"2025-03-18 21:45","36715","36444","36421",
"2025-03-18 21:50","36170","36126","36421",
"2025-03-18 21:55","35795","35821","36421",
"2025-03-18 22:00","35503","35515","35128",
"2025-03-18 22:05","35496","35220","35128",
"2025-03-18 22:10","35206","34905","35128",
"2025-03-18 22:15","34957","34572","34066",
"2025-03-18 22:20","34691","34229","34066",
"2025-03-18 22:25","34387","33890","34066",
"2025-03-18 22:30","34128","33552","33206",
"2025-03-18 22:35","33877","33232","33206",
"2025-03-18 22:40","33640","32944","33206",
"2025-03-18 22:45","33329","32688","32707",
"2025-03-18 22:50","32755","32400","32707",
"2025-03-18 22:55","32440","32016","32707",
"2025-03-18 23:00","32168","31399","31118",
"2025-03-18 23:05","32049","30927","31118",
"2025-03-18 23:10","31868","30568","31118",
"2025-03-18 23:15","31437","30321","30712",
"2025-03-18 23:20","31086","30124","30712",
"2025-03-18 23:25","30645","29916","30712",
"2025-03-18 23:30","30310","29697","29993",
"2025-03-18 23:35","30245","29474","29993",
"2025-03-18 23:40","29951","29254","29993",
"2025-03-18 23:45","29645","29036","29213",
"2025-03-18 23:50","29467","28849","29213",
"2025-03-18 23:55","29234","28720","29213",
"2025-03-19 00:00","29243","28484","28697",
"2025-03-19 00:05","28858","28416","28697",
"2025-03-19 00:10","28733","28291","28697",
"2025-03-19 00:15","28741","28110","27992",
"2025-03-19 00:20","28656","27906","27992",
"2025-03-19 00:25","28039","27713","27992",
"2025-03-19 00:30","28000","27530","27495",
"2025-03-19 00:35","27956","27370","27495",
"2025-03-19 00:40","27754","27245","27495",
"2025-03-19 00:45","27523","27155","27082",
"2025-03-19 00:50","27508","27019","27082",
"2025-03-19 00:55","27207","26755","27082",
"2025-03-19 01:00","26998","26244","26750",
"2025-03-19 01:05","26667","25859","26750",
"2025-03-19 01:10","26578","25615","26750",
"2025-03-19 01:15","26398","25512","26352",
"2025-03-19 01:20","26366","25469","26352",
"2025-03-19 01:25","26254","25402","26352",
"2025-03-19 01:30","26365","25313","25692",
"2025-03-19 01:35","26257","25204","25692",
"2025-03-19 01:40","25978","25081","25692",
"2025-03-19 01:45","25820","24943","25338",
"2025-03-19 01:50","25780","24854","25338",
"2025-03-19 01:55","25617","24878","25338",
"2025-03-19 02:00","25202","24942","25267",
"2025-03-19 02:05","25437","25081","25267",
"2025-03-19 02:10","25368","25108","25267",
"2025-03-19 02:15","25021","25023","24958",
"2025-03-19 02:20","25183","24899","24958",
"2025-03-19 02:25","25060","24809","24958",
"2025-03-19 02:30","24948","24752","24764",
"2025-03-19 02:35","25037","24709","24764",
"2025-03-19 02:40","25132","24662","24764",
"2025-03-19 02:45","24837","24610","24565",
"2025-03-19 02:50","24939","24557","24565",
"2025-03-19 02:55","24693","24508","24565",
"2025-03-19 03:00","24594","24421","24424",
"2025-03-19 03:05","24514","24378","24424",
"2025-03-19 03:10","24430","24337","24424",
"2025-03-19 03:15","24620","24299","24319",
"2025-03-19 03:20","24686","24262","24319",
"2025-03-19 03:25","24691","24227","24319",
"2025-03-19 03:30","24427","24194","24323",
"2025-03-19 03:35","24585","24170","24323",
"2025-03-19 03:40","24585","24164","24323",
"2025-03-19 03:45","24163","24175","24276",
"2025-03-19 03:50","24389","24171","24276",
"2025-03-19 03:55","24129","24121","24276",
"2025-03-19 04:00","23986","24007","23791",
"2025-03-19 04:05","24256","23915","23791",
"2025-03-19 04:10","24176","23880","23791",
"2025-03-19 04:15","24356","23901","24200",
"2025-03-19 04:20","23961","23942","24200",
"2025-03-19 04:25","24250","23967","24200",
"2025-03-19 04:30","24143","23975","24402",
"2025-03-19 04:35","24306","23990","24402",
"2025-03-19 04:40","24063","24033","24402",
"2025-03-19 04:45","24099","24105","24308",
"2025-03-19 04:50","24297","24163","24308",
"2025-03-19 04:55","24413","24162","24308",
"2025-03-19 05:00","24366","24102","24477",
"2025-03-19 05:05","24601","24057","24477",
"2025-03-19 05:10","24794","24096","24477",
"2025-03-19 05:15","24795","24220","24646",
"2025-03-19 05:20","24664","24384","24646",
"2025-03-19 05:25","24766","24545","24646",
"2025-03-19 05:30","24957","24704","25289",
"2025-03-19 05:35","24902","24873","25289",
"2025-03-19 05:40","25148","25068","25289",
"2025-03-19 05:45","24875","25288","25704",
"2025-03-19 05:50","25013","25515","25704",
"2025-03-19 05:55","25150","25731","25704",
"2025-03-19 06:00","25422","25952","26403",
"2025-03-19 06:05","26057","26166","26403",
"2025-03-19 06:10","26329","26405","26403",
"2025-03-19 06:15","26405","26671","27197",
"2025-03-19 06:20","26760","26957","27197",
"2025-03-19 06:25","26893","27257","27197",
"2025-03-19 06:30","27071","27572","28064",
"2025-03-19 06:35","27495","27877","28064",
"2025-03-19 06:40","27745","28147","28064",
"2025-03-19 06:45","27963","28382","29006",
"2025-03-19 06:50","27968","28671","29006",
"2025-03-19 06:55","28396","29103","29006",
"2025-03-19 07:00","28770","29760","30299",
"2025-03-19 07:05","29503","30331","30299",
"2025-03-19 07:10","30119","30749","30299",
"2025-03-19 07:15","30337","31015","31090",
"2025-03-19 07:20","30611","31221","31090",
"2025-03-19 07:25","30676","31457","31090",
"2025-03-19 07:30","30915","31723","31705",
"2025-03-19 07:35","31213","31981","31705",
"2025-03-19 07:40","31449","32193","31705",
"2025-03-19 07:45","31409","32358","32008",
"2025-03-19 07:50","31680","32535","32008",
"2025-03-19 07:55","31821","32782","32008",
"2025-03-19 08:00","31860","33241","32722",
"2025-03-19 08:05","32079","33543","32722",
"2025-03-19 08:10","32655","33747","32722",
"2025-03-19 08:15","32838","33853","33193",
"2025-03-19 08:20","32813","33912","33193",
"2025-03-19 08:25","32880","33977","33193",
"2025-03-19 08:30","32843","34048","33201",
"2025-03-19 08:35","32981","34108","33201",
"2025-03-19 08:40","33070","34143","33201",
"2025-03-19 08:45","33011","34150","33113",
"2025-03-19 08:50","33009","34155","33113",
"2025-03-19 08:55","32966","34179","33113",
"2025-03-19 09:00","33014","34330","32926",
"2025-03-19 09:05","32723","34369","32926",
"2025-03-19 09:10","32870","34380","32926",
"2025-03-19 09:15","32967","34361","33063",
"2025-03-19 09:20","32993","34333","33063",
"2025-03-19 09:25","33160","34315","33063",
"2025-03-19 09:30","33060","34305","32940",
"2025-03-19 09:35","33086","34295","32940",
"2025-03-19 09:40","33098","34275","32940",
"2025-03-19 09:45","32891","34245","32885",
"2025-03-19 09:50","32926","34223","32885",
"2025-03-19 09:55","32855","34225","32885",
"2025-03-19 10:00","33056","34284","32830",
"2025-03-19 10:05","32960","34307","32830",
"2025-03-19 10:10","32635","34296","32830",
"2025-03-19 10:15","32545","34251","32744",
"2025-03-19 10:20","33003","34191","32744",
"2025-03-19 10:25","32865","34133","32744",
"2025-03-19 10:30","32859","34078","32759",
"2025-03-19 10:35","32846","34024","32759",
"2025-03-19 10:40","32837","33969","32759",
"2025-03-19 10:45","32576","33912","32885",
"2025-03-19 10:50","32448","33850","32885",
"2025-03-19 10:55","32503","33777","32885",
"2025-03-19 11:00","32159","33679","32598",
"2025-03-19 11:05","32619","33597","32598",
"2025-03-19 11:10","32535","33530","32598",
"2025-03-19 11:15","32344","33478","32146",
"2025-03-19 11:20","31965","33435","32146",
"2025-03-19 11:25","31973","33394","32146",
"2025-03-19 11:30","32200","33354","32139",
"2025-03-19 11:35","32171","33318","32139",
"2025-03-19 11:40","32074","33287","32139",
"2025-03-19 11:45","31616","33262","32170",
"2025-03-19 11:50","31628","33242","32170",
"2025-03-19 11:55","31794","33226","32170",
"2025-03-19 12:00","31530","33188","32060",
"2025-03-19 12:05","31633","33180","32060",
"2025-03-19 12:10","31737","33172","32060",
"2025-03-19 12:15","31601","33166","31697",
"2025-03-19 12:20","31851","33162","31697",
"2025-03-19 12:25","31779","33163","31697",
"2025-03-19 12:30","31517","33171","31296",
"2025-03-19 12:35","31478","33179","31296",
"2025-03-19 12:40","31560","33185","31296",
"2025-03-19 12:45","31600","33187","31295",
"2025-03-19 12:50","31546","33195","31295",
"2025-03-19 12:55","31406","33216","31295",
"2025-03-19 13:00","31351","33242","31405",
"2025-03-19 13:05","31369","33274","31405",
"2025-03-19 13:10","31529","33289","31405",
"2025-03-19 13:15","31393","33286","31565",
"2025-03-19 13:20","31692","33273","31565",
"2025-03-19 13:25","31526","33256","31565",
"2025-03-19 13:30","31359","33236","31909",
"2025-03-19 13:35","31485","33216","31909",
"2025-03-19 13:40","31283","33200","31909",
"2025-03-19 13:45","31349","33188","31368",
"2025-03-19 13:50","31170","33160","31368",
"2025-03-19 13:55","31202","33095","31368",
"2025-03-19 14:00","30777","33011","32454",
"2025-03-19 14:05","31406","32900","32454",
"2025-03-19 14:10","31594","32808","32454",
"2025-03-19 14:15","31297","32736","31359",
"2025-03-19 14:20","31258","32672","31359",
"2025-03-19 14:25","31194","32603","31359",
"2025-03-19 14:30","31254","32530","31660",
"2025-03-19 14:35","31614","32438","31660",
"2025-03-19 14:40","31190","32313","31660",
"2025-03-19 14:45","31013","32154","31510",
"2025-03-19 14:50","31116","32040","31510",
"2025-03-19 14:55","31054","32054","31510",
"2025-03-19 15:00","31060","32208","30678",
"2025-03-19 15:05","31009","32380","30678",
"2025-03-19 15:10","31025","32490","30678",
"2025-03-19 15:15","30810","32539","30828",
"2025-03-19 15:20","31025","32541","30828",
"2025-03-19 15:25","30678","32512","30828",
"2025-03-19 15:30","30596","32452","30396",
"2025-03-19 15:35","30647","32419","30396",
