Estructura de generación (MW),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Hora,Eólica,Nuclear,Carbón,Ciclo combinado,Intercambios int,Solar fotovoltaica,Solar térmica,Térmica renovable,Motores diésel,Turbina de gas,Turbina de vapor,Generación auxiliar,Cogeneración y residuos,Andorra exportación,Marruecos exportación,Portugal exportación,Francia exportación,Francia importación,Portugal importación,Marruecos importación,Andorra importación,Hidráulica
2025-03-18 21:00,9830,7131,233,6937,917,48,40,437,407,217,261,0,1970,-24,-223,0,0,665,503,0,0,7905
2025-03-18 21:05,9638,7121,234,6852,1152,48,40,437,408,224,261,0,1971,-24,-275,0,0,1203,212,0,0,7869
2025-03-18 21:10,9590,7130,234,6859,1142,48,40,437,407,226,260,0,1965,-24,-347,0,0,1189,287,0,0,7994
2025-03-18 21:15,9505,7127,234,6760,1403,48,40,444,411,225,260,0,1959,-24,-302,0,0,1489,195,0,0,7806
2025-03-18 21:20,9428,7130,234,6515,1459,48,40,449,407,224,261,0,1944,-23,-260,0,0,1490,290,0,0,7891
2025-03-18 21:25,9459,7127,234,6220,1609,48,40,449,408,224,261,0,1928,-23,-224,0,0,1720,202,0,0,7913
2025-03-18 21:30,9464,7133,234,6100,1760,48,40,449,406,221,260,0,1889,-22,-241,0,0,1689,333,0,0,7727
2025-03-18 21:35,9451,7130,234,6012,1779,29,40,449,406,220,260,0,1934,-22,-219,0,0,1297,648,0,0,7719
2025-03-18 21:40,9256,7125,234,6024,1573,29,40,449,404,214,260,0,1932,-22,-187,0,0,1129,693,0,0,7691
2025-03-18 21:45,9272,7126,234,6016,1430,29,40,449,405,207,261,0,1934,-22,-171,0,0,965,692,0,0,7434
2025-03-18 21:50,9271,7130,234,5973,1262,29,40,449,398,205,260,0,1931,-22,-251,0,0,990,578,0,0,7273
2025-03-18 21:55,9141,7133,234,5816,1358,29,40,449,398,208,260,0,1912,-21,-261,0,0,1001,649,0,0,7117
2025-03-18 22:00,9221,7133,234,5809,511,29,40,449,396,209,260,0,1898,-21,-271,0,-59,0,882,0,0,7572
2025-03-18 22:05,9557,7128,234,6022,-513,29,40,452,394,204,261,0,1897,-20,-418,0,-1284,0,1164,0,0,8029
2025-03-18 22:10,9588,7125,234,6110,-975,29,40,452,391,205,260,0,1854,-20,-454,0,-1605,0,1154,0,0,8061
2025-03-18 22:15,9462,7130,234,6021,-648,29,40,452,389,201,260,0,1887,-20,-414,0,-1441,0,1187,0,0,7752
2025-03-18 22:20,9436,7131,234,5862,-664,29,40,452,386,200,260,0,1887,-20,-440,0,-1409,0,1256,0,0,7723
2025-03-18 22:25,9435,7130,234,5732,-774,29,40,452,385,199,260,0,1887,-19,-465,0,-1534,0,1274,0,0,7669
2025-03-18 22:30,9442,7126,234,5580,-502,30,40,452,382,195,260,0,1883,-19,-457,0,-1402,0,1395,0,0,7370
2025-03-18 22:35,9454,7124,234,5550,-477,30,40,452,380,194,260,0,1852,-19,-512,0,-1302,0,1420,0,0,7445
2025-03-18 22:40,9449,7128,234,5525,-562,30,40,452,383,183,260,0,1889,-18,-509,0,-1465,0,1412,0,0,7355
2025-03-18 22:45,9423,7132,234,5520,-838,30,40,452,383,166,261,0,1887,-18,-546,0,-1672,0,1419,0,0,7357
2025-03-18 22:50,9388,7129,234,5449,-1073,30,40,453,376,166,260,0,1883,-18,-558,0,-1849,0,1329,0,0,7172
2025-03-18 22:55,9220,7131,234,5398,-911,30,40,453,366,166,259,0,1823,-18,-524,0,-1843,0,1464,0,0,6990
2025-03-18 23:00,9192,7129,234,5361,-1121,30,40,453,359,166,258,0,1860,-18,-546,0,-1938,0,1416,0,0,7018
2025-03-18 23:05,9317,7127,234,5083,-1137,30,40,438,356,157,256,0,1851,-17,-599,0,-2059,0,1586,0,0,7119
2025-03-18 23:10,9224,7129,233,4915,-1009,30,40,438,352,143,257,0,1835,-17,-711,0,-1933,0,1645,0,0,7086
2025-03-18 23:15,9130,7128,233,4649,-870,30,40,438,348,127,257,0,1789,-17,-522,0,-1966,0,1633,0,0,6908
2025-03-18 23:20,9123,7129,234,4461,-992,30,40,438,343,104,259,0,1819,-17,-474,0,-2116,0,1603,0,0,6752
2025-03-18 23:25,9036,7131,234,4309,-1265,29,40,438,341,99,260,0,1820,-17,-484,0,-2396,0,1638,0,0,6783
2025-03-18 23:30,8996,7128,258,4253,-1336,29,40,438,338,95,260,0,1826,-16,-506,0,-2452,0,1614,0,0,6674
2025-03-18 23:35,8980,7124,255,4223,-1107,29,40,438,334,95,258,0,1816,-16,-449,0,-2291,0,1621,0,0,6429
2025-03-18 23:40,8934,7125,259,4130,-1336,29,40,438,333,95,257,0,1813,-16,-442,0,-2442,0,1599,0,0,6460
2025-03-18 23:45,8760,7131,265,4085,-1225,29,40,438,330,94,256,0,1806,-16,-461,0,-2505,0,1678,0,0,6274
